month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum_percent,mslp_mbs,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,250.2,21,28.3,21.9,25.1,25.5,23.6,22.9,27.8,85,1013.6,NE,4,7,0,0
February,151.8,14,28.9,21.9,25.4,25.8,23.8,23,28.1,85,1013.2,NE,3,6,0,0
March,127.4,11,30.2,22.6,26.4,26.7,24.5,23.7,29.2,83,1012.6,NE,3,5,2,1
April,91.9,9,31.8,23.4,27.6,28,25.4,24.5,30.6,81,1011.3,NE,2,5,5,3
May,114.1,11,32.8,23.8,28.3,28.7,26,25.1,31.7,81,1009.8,SW,2,6,14,12
June,182.4,14,32.5,23.7,28.1,28.4,25.9,25.1,31.7,82,1009,SW,2,6,16,14
July,238.9,17,31.6,23.3,27.5,27.8,25.5,24.7,31,83,1008.6,SW,2,7,14,12
August,150,15,31.8,23.3,27.6,27.9,25.5,24.7,31,82,1008,SW,3,7,12,10
September,253.1,17,31.5,23.2,27.4,27.6,25.4,24.6,30.9,84,1009.3,SW,2,7,14,10
October,509.7,23,30.6,23.1,26.9,27.2,25.1,24.4,30.4,84,1010.1,NE,3,7,11,8
November,551.7,24,29.7,23,26.3,26.8,24.8,24.1,29.9,85,1011.1,NE,4,7,6,3
December,636.6,26,28.5,22.2,25.4,25.9,24,23.3,28.5,85,1012.7,NE,4,7,1,1
Annual,3257.6,202,30.7,23,26.8,27.2,25,24.2,30.1,83,1010.8,NE,3,6,95,74
