month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,156,17,24.2,18.6,21.4,21.8,19.9,19,21.9,84,1019.4,E,4,6,0,0
February,84.6,12,25,19.2,22.1,22.4,20.5,19.6,22.8,84,1018.4,E,3,5,0,0
March,69.8,10,26.4,20.6,23.5,23.9,22,21.2,25.1,85,1016.9,E,3,5,0,0
April,57.2,7,28.4,22.5,25.4,25.8,23.9,23.2,28.3,85,1014.6,E,3,5,1,1
May,243.7,11,29.8,24,26.9,27.2,25.3,24.6,30.9,86,1011.8,E,3,5,3,3
June,253.8,12,30.5,24.9,27.7,28,26.2,25.6,32.8,87,1010.2,W,2,5,3,4
July,269.1,14,30.9,25.1,28,28.3,26.5,25.9,33.4,87,1009.5,W,3,5,3,3
August,450,19,30.3,24.9,27.6,27.8,26.2,25.7,32.9,88,1008.7,W,3,6,5,4
September,344.1,17,29.8,24.4,27.1,27.3,25.7,25.1,31.9,88,1010.6,E,3,5,3,3
October,299,17,28.6,23.1,25.9,26.3,24.6,24,29.7,87,1014.1,NE,4,5,2,1
November,239.1,18,26.9,21.4,24.1,24.7,22.9,22.2,26.7,86,1016.8,NE,4,6,0,0
December,141.6,16,24.9,19.2,22,22.5,20.6,19.7,23,84,1019.3,NE,4,6,0,0
Annual,2607.9,170,28,22.3,25.2,25.5,23.7,23,28.3,86,1014.2,E,3,5,20,19
